Year,Rank,Rider,Team,TotalSeconds,GapSeconds
2014,101,GREGORY RAST,TREK FACTORY RACING,337363,13417
2014,102,CEDRIC PINEAU,FDJ.FR,337408,13462
2014,103,FLORIAN VACHON,BRETAGNE - SECHE ENVIRONNEMENT,337426,13480
2014,104,BRYAN COQUARD,TEAM EUROPCAR,337431,13485
2014,105,DAVID LOPEZ GARCIA,TEAM SKY,337459,13513
2014,106,SEP VANMARCKE,BELKIN PRO CYCLING,337500,13554
2014,107,ALEXANDRE PICHOT,TEAM EUROPCAR,337541,13595
2014,108,JENS VOIGT,TREK FACTORY RACING,337543,13597
2014,109,JULIEN SIMON,"COFIDIS, SOLUTIONS CREDITS",337562,13616
2014,110,CYRIL LEMOINE,"COFIDIS, SOLUTIONS CREDITS",337582,13636
2014,111,JURGEN ROELANDTS,LOTTO-BELISOL,337905,13959
2014,112,MACIEJ BODNAR,CANNONDALE,337918,13972
2014,113,SIMON CLARKE,ORICA GREENEDGE,338084,14138
2014,114,BENAT INTXAUSTI ELORRIAGA,MOVISTAR TEAM,338099,14153
2014,115,JEAN-MARC BIDEAU,BRETAGNE - SECHE ENVIRONNEMENT,338234,14288
2014,116,ROY CURVERS,TEAM GIANT-SHIMANO,338249,14303
2014,117,MAARTEN WYNANTS,BELKIN PRO CYCLING,338415,14469
2014,118,FABIO SABATINI,CANNONDALE,338427,14481
2014,119,MATTEO TOSATTO,TINKOFF-SAXO,338459,14513
2014,120,CHRISTOPHE RIBLON,AG2R LA MONDIALE,338586,14640
2014,121,CHRISTIAN MEIER,ORICA GREENEDGE,338659,14713
2014,122,LUKE DURBRIDGE,ORICA GREENEDGE,338705,14759
2014,123,JOHN DEGENKOLB,TEAM GIANT-SHIMANO,338748,14802
2014,124,JOSÉ PIMENTA COSTA MENDES,TEAM NETAPP-ENDURA,338800,14854
2014,125,ALEXANDER KRISTOFF,TEAM KATUSHA,339052,15106
2014,126,BERNHARD EISEL,TEAM SKY,339147,15201
2014,127,ALEX HOWES,GARMIN - SHARP,339469,15523
2014,128,YOHANN GENE,TEAM EUROPCAR,339497,15551
2014,129,MAXIM IGLINSKIY,ASTANA PRO TEAM,339673,15727
2014,130,DMITRIY GRUZDEV,ASTANA PRO TEAM,339699,15753
2014,131,SVEIN TUFT,ORICA GREENEDGE,339718,15772
2014,132,ARNAUD GERARD,BRETAGNE - SECHE ENVIRONNEMENT,339801,15855
2014,133,THOMAS LEEZER,BELKIN PRO CYCLING,339807,15861
2014,134,MICHAEL MØRKØV,TINKOFF-SAXO,339935,15989
2014,135,KRISTIJAN KOREN,CANNONDALE,340100,16154
2014,136,LUCA PAOLINI,TEAM KATUSHA,340129,16183
2014,137,JACK BAUER,GARMIN - SHARP,340143,16197
2014,138,ARMINDO FONSECA,BRETAGNE - SECHE ENVIRONNEMENT,340198,16252
2014,139,ROGER KLUGE,IAM CYCLING,340371,16425
2014,140,SEBASTIAN LANGEVELD,GARMIN - SHARP,340415,16469
2014,141,RAMUNAS NAVARDAUSKAS,GARMIN - SHARP,340608,16662
2014,142,MARK RENSHAW,OMEGA PHARMA-QUICK STEP,340689,16743
2014,143,MICKAEL DELAGE,FDJ.FR,340726,16780
2014,144,ANDREAS SCHILLINGER,TEAM NETAPP-ENDURA,340752,16806
2014,145,MARCEL SIEBERG,LOTTO-BELISOL,340827,16881
2014,146,ALBERT TIMMER,TEAM GIANT-SHIMANO,340894,16948
2014,147,ALESSANDRO VANOTTI,ASTANA PRO TEAM,340914,16968
2014,148,ALESSANDRO PETACCHI,OMEGA PHARMA-QUICK STEP,341033,17087
2014,149,ANDRÉ GREIPEL,LOTTO-BELISOL,341040,17094
2014,150,ROMAIN FEILLU,BRETAGNE - SECHE ENVIRONNEMENT,341050,17104
2014,151,ZAKKARI DEMPSTER,TEAM NETAPP-ENDURA,341050,17104
2014,152,BENOIT JARRIER,BRETAGNE - SECHE ENVIRONNEMENT,341134,17188
2014,153,DANNY PATE,TEAM SKY,341218,17272
2014,154,MARCUS BURGHARDT,BMC RACING TEAM,341266,17320
2014,155,TOM VEELERS,TEAM GIANT-SHIMANO,341549,17603
2014,156,ADRIEN PETIT,"COFIDIS, SOLUTIONS CREDITS",341846,17900
2014,157,VLADIMIR ISAICHEV,TEAM KATUSHA,341856,17910
2014,158,WILLIAM BONNET,FDJ.FR,341943,17997
2014,159,ARNAUD DEMARE,FDJ.FR,341975,18029
2014,160,JEAN MARC MARINO,CANNONDALE,342172,18226
2014,161,MARCEL KITTEL,TEAM GIANT-SHIMANO,342333,18387
2014,162,ELIA VIVIANI,CANNONDALE,342586,18640
2014,163,DAVIDE CIMOLAI,LAMPRE - MERIDA,342664,18718
2014,164,CHENG JI,TEAM GIANT-SHIMANO,345690,21744
2015,1,CHRIS FROOME,TEAM SKY,305174,0
2015,2,NAIRO QUINTANA,MOVISTAR TEAM,305246,72
2015,3,ALEJANDRO VALVERDE,MOVISTAR TEAM,305499,325
2015,4,VINCENZO NIBALI,ASTANA PRO TEAM,305690,516
2015,5,ALBERTO CONTADOR,TINKOFF-SAXO,305762,588
2015,6,ROBERT GESINK,TEAM LOTTO NL - JUMBO,305821,647
2015,7,BAUKE MOLLEMA,TREK FACTORY RACING,306088,914
2015,8,MATHIAS FRANK,IAM CYCLING,306113,939
2015,9,ROMAIN BARDET,AG2R LA MONDIALE,306134,960
2015,10,PIERRE ROLLAND,TEAM EUROPCAR,306224,1050
2015,11,ANDREW TALANSKY,TEAM CANNONDALE-GARMIN,306500,1326
2015,12,SAMUEL SANCHEZ,BMC RACING TEAM,306544,1370
2015,13,SERGE PAUWELS,MTN-QHUBEKA,307037,1863
2015,14,WARREN BARGUIL,TEAM GIANT-ALPECIN,307049,1875
2015,15,GERAINT THOMAS,TEAM SKY,307073,1899
2015,16,THIBAUT PINOT,FDJ,307506,2332
2015,17,ROMAN KREUZIGER,TINKOFF-SAXO,308945,3771
2015,18,MIKAEL CHEREL,AG2R LA MONDIALE,309074,3900
2015,19,JARLINSON PANTANO GOMEZ,IAM CYCLING,309322,4148
2015,20,JAN BAKELANTS,AG2R LA MONDIALE,309770,4596
2015,21,STEVEN KRUIJSWIJK,TEAM LOTTO NL - JUMBO,310061,4887
2015,22,TANEL KANGERT,ASTANA PRO TEAM,310272,5098
2015,23,JAKOB FUGLSANG,ASTANA PRO TEAM,310297,5123
2015,24,JONATHAN CASTROVIEJO NICOLAS,MOVISTAR TEAM,310339,5165
2015,25,JAN BARTA,BORA-ARGON 18,310390,5216
2015,26,ALEXIS VUILLERMOZ,AG2R LA MONDIALE,310483,5309
2015,27,BOB JUNGELS,TREK FACTORY RACING,310775,5601
2015,28,RAFAL MAJKA,TINKOFF-SAXO,310880,5706
2015,29,JOAQUIN RODRIGUEZ OLIVER,TEAM KATUSHA,310941,5767
2015,30,RUBEN PLAZA MOLINA,LAMPRE - MERIDA,311076,5902
2015,31,TONY GALLOPIN,LOTTO-SOUDAL,311218,6044
2015,32,GORKA IZAGIRRE INSAUSTI,MOVISTAR TEAM,311268,6094
2015,33,ROMAIN SICARD,TEAM EUROPCAR,311866,6692
2015,34,CYRIL GAUTIER,TEAM EUROPCAR,311885,6711
2015,35,NICOLAS ROCHE,TEAM SKY,312022,6848
2015,36,MICHAEL ROGERS,TINKOFF-SAXO,312147,6973
2015,37,LARS BAK YTTING,LOTTO-SOUDAL,312191,7017
2015,38,SIMON GESCHKE,TEAM GIANT-ALPECIN,312268,7094
2015,39,DANIEL MARTIN,TEAM CANNONDALE-GARMIN,312591,7417
2015,40,RYDER HESJEDAL,TEAM CANNONDALE-GARMIN,312651,7477
2015,41,MICHELE SCARPONI,ASTANA PRO TEAM,312677,7503
2015,42,RIGOBERTO URAN,ETIXX-QUICK STEP,312874,7700
2015,43,LUIS ANGEL MATE MARDONES,"COFIDIS, SOLUTIONS CREDITS",312986,7812
2015,44,WOUT POELS,TEAM SKY,313138,7964
2015,45,THOMAS VOECKLER,TEAM EUROPCAR,313222,8048
2015,46,PETER SAGAN,TINKOFF-SAXO,313269,8095
2015,47,NELSON OLIVEIRA,LAMPRE - MERIDA,313306,8132
2015,48,RICHIE PORTE,TEAM SKY,313339,8165
2015,49,DANIEL TEKLEHAIMANOT,MTN-QHUBEKA,313349,8175
2015,50,ADAM YATES,ORICA GREENEDGE,313370,8196
2015,51,JACQUES WILLEM JANSE VAN RENSBURG,MTN-QHUBEKA,313470,8296
2015,52,PIERRICK FEDRIGO,BRETAGNE - SECHE ENVIRONNEMENT,313748,8574
2015,53,DAMIANO CARUSO,BMC RACING TEAM,313966,8792
2015,54,SYLVAIN CHAVANEL,IAM CYCLING,314142,8968
2015,55,BRAM TANKINK,TEAM LOTTO NL - JUMBO,314186,9012
2015,56,MICHAEL SCHÄR,BMC RACING TEAM,314247,9073
2015,57,WINNER ANACONA,MOVISTAR TEAM,314248,9074
2015,58,ALBERTO LOSADA ALGUACIL,TEAM KATUSHA,314324,9150
2015,59,STEF CLEMENT,IAM CYCLING,314396,9222
2015,60,MARCEL WYSS,IAM CYCLING,314452,9278
2015,61,JEAN-CHRISTOPHE PÉRAUD,AG2R LA MONDIALE,314484,9310
2015,62,HAIMAR ZUBELDIA,TREK FACTORY RACING,314584,9410
2015,63,DANILO WYSS,BMC RACING TEAM,314611,9437
2015,64,ANDREY GRIVKO,ASTANA PRO TEAM,314660,9486
2015,65,JOSE HERRADA LOPEZ,MOVISTAR TEAM,314780,9606
2015,66,DANIEL NAVARRO GARCIA,"COFIDIS, SOLUTIONS CREDITS",314988,9814
2015,67,THOMAS DE GENDT,LOTTO-SOUDAL,315256,10082
2015,68,CHRISTOPHE RIBLON,AG2R LA MONDIALE,315273,10099
2015,69,KRISTIJAN KOREN,TEAM CANNONDALE-GARMIN,315478,10304
2015,70,LEOPOLD KONIG,TEAM SKY,315563,10389
2015,71,MATTHIEU LADAGNOUS,FDJ,315576,10402
2015,72,TIAGO MACHADO,TEAM KATUSHA,315645,10471
2015,73,KOEN DE KORT,TEAM GIANT-ALPECIN,315799,10625
2015,74,PERRIG QUEMENEUR,TEAM EUROPCAR,315813,10639
2015,75,RETO HOLLENSTEIN,IAM CYCLING,315884,10710
2015,76,KRISTIJAN ÐURASEK,LAMPRE - MERIDA,316108,10934
2015,77,LIEUWE WESTRA,ASTANA PRO TEAM,316163,10989
2015,78,RAFAEL VALLS,LAMPRE - MERIDA,316165,10991
2015,79,WILCO KELDERMAN,TEAM LOTTO NL - JUMBO,316221,11047
2015,80,PAUL MARTENS,TEAM LOTTO NL - JUMBO,316266,11092
2015,81,PIERRE LUC PERICHON,BRETAGNE - SECHE ENVIRONNEMENT,316322,11148
2015,82,EDVALD BOASSON-HAGEN,MTN-QHUBEKA,316456,11282
2015,83,EMANUEL BUCHMANN,BORA-ARGON 18,316501,11327
2015,84,MERHAWI KUDUS,MTN-QHUBEKA,316610,11436
2015,85,ANTHONY DELAPLACE,BRETAGNE - SECHE ENVIRONNEMENT,316662,11488
2015,86,STEPHEN CUMMINGS,MTN-QHUBEKA,316717,11543
2015,87,GEORG PREIDLER,TEAM GIANT-ALPECIN,316828,11654
2015,88,FLORIAN VACHON,BRETAGNE - SECHE ENVIRONNEMENT,316875,11701
2015,89,SIMON PHILIP YATES,ORICA GREENEDGE,316938,11764
2015,90,GIANPAOLO CARUSO,TEAM KATUSHA,316997,11823
2015,91,ANGELO TULIK,TEAM EUROPCAR,317078,11904
2015,92,LAURENS TEN DAM,TEAM LOTTO NL - JUMBO,317097,11923
2015,93,MARKEL IRIZAR ARRANBURU,TREK FACTORY RACING,317158,11984
2015,94,JULIEN SIMON,"COFIDIS, SOLUTIONS CREDITS",317167,11993
2015,95,MICHAL GOLAS,ETIXX-QUICK STEP,317251,12077
2015,96,REINARDT JANSE VAN RENSBURG,MTN-QHUBEKA,317264,12090
2015,97,DANIEL OSS,BMC RACING TEAM,317308,12134
2015,98,BRICE FEILLU,BRETAGNE - SECHE ENVIRONNEMENT,317365,12191
2015,99,PAUL VOSS,BORA-ARGON 18,317467,12293
2015,100,MARTIN ELMIGER,IAM CYCLING,317581,12407
2015,101,ROHAN DENNIS,BMC RACING TEAM,317628,12454
2015,102,GREGORY RAST,TREK FACTORY RACING,317714,12540
2015,103,ZDENEK STYBAR,ETIXX-QUICK STEP,317787,12613
2015,104,SEP VANMARCKE,TEAM LOTTO NL - JUMBO,317849,12675
2015,105,JÉRÉMY ROY,FDJ,317906,12732
2015,106,ROY CURVERS,TEAM GIANT-ALPECIN,318114,12940
2015,107,ADRIANO MALORI,MOVISTAR TEAM,318222,13048
2015,108,BARTOSZ HUZARSKI,BORA-ARGON 18,318260,13086
2015,109,JOHN DEGENKOLB,TEAM GIANT-ALPECIN,318357,13183
2015,110,BRYAN COQUARD,TEAM EUROPCAR,318530,13356
2015,111,NICOLAS EDET,"COFIDIS, SOLUTIONS CREDITS",318536,13362
2015,112,ALEXANDRE GENIEZ,FDJ,318551,13377
2015,113,BENOÎT VAUGRENARD,FDJ,318562,13388
2015,114,ADAM JAMES HANSEN,LOTTO-SOUDAL,318692,13518
2015,115,IMANOL ERVITI,MOVISTAR TEAM,318808,13634
2015,116,JULIEN VERMOTE,ETIXX-QUICK STEP,319006,13832
2015,117,MATTEO TRENTIN,ETIXX-QUICK STEP,319033,13859
2015,118,MATTEO BONO,LAMPRE - MERIDA,319111,13937
2015,119,ARMINDO FONSECA,BRETAGNE - SECHE ENVIRONNEMENT,319167,13993
2015,120,MANUEL QUINZIATO,BMC RACING TEAM,319175,14001
2015,121,JOS VAN EMDEN,TEAM LOTTO NL - JUMBO,319233,14059
2015,122,JOSÉ SERPA,LAMPRE - MERIDA,319239,14065
2015,123,GEOFFREY SOUPE,"COFIDIS, SOLUTIONS CREDITS",319309,14135
2015,124,JULIAN ARREDONDO MORENO,TREK FACTORY RACING,319383,14209
2015,125,FILIPPO POZZATO,LAMPRE - MERIDA,319474,14300
2015,126,MARCO HALLER,TEAM KATUSHA,319518,14344
2015,127,CHRISTOPHE LAPORTE,"COFIDIS, SOLUTIONS CREDITS",319524,14350
2015,128,IAN STANNARD,TEAM SKY,319551,14377
2015,129,TIM WELLENS,LOTTO-SOUDAL,319553,14379
2015,130,ALEXANDER KRISTOFF,TEAM KATUSHA,319640,14466
2015,131,DMITRIY GRUZDEV,ASTANA PRO TEAM,319646,14472
2015,132,MATTEO TOSATTO,TINKOFF-SAXO,319649,14475
2015,133,ARNAUD GERARD,BRETAGNE - SECHE ENVIRONNEMENT,319700,14526
2015,134,ANDRÉ GREIPEL,LOTTO-SOUDAL,319782,14608
2015,135,FLORIAN SENECHAL,"COFIDIS, SOLUTIONS CREDITS",319820,14646
2015,136,LUKE ROWE,TEAM SKY,319859,14685
2015,137,YOHANN GENE,TEAM EUROPCAR,319870,14696
2015,138,ARNAUD DEMARE,FDJ,319902,14728
2015,139,ALBERT TIMMER,TEAM GIANT-ALPECIN,319904,14730
2015,140,JOSÉ JOAO PIMANTA COSTA MENDES,BORA-ARGON 18,320041,14867
2015,141,FRÉDERIC BRUN,BRETAGNE - SECHE ENVIRONNEMENT,320206,15032
2015,142,MARK CAVENDISH,ETIXX-QUICK STEP,320299,15125
2015,143,RAMUNAS NAVARDAUSKAS,TEAM CANNONDALE-GARMIN,320454,15280
2015,144,PIETER WEENING,ORICA GREENEDGE,320494,15320
2015,145,JENS DEBUSSCHERE,LOTTO-SOUDAL,320540,15366
2015,146,DAMIEN GAUDIN,AG2R LA MONDIALE,320547,15373
2015,147,DYLAN VAN BAARLE,TEAM CANNONDALE-GARMIN,320694,15520
2015,148,STIJN DEVOLDER,TREK FACTORY RACING,320865,15691
2015,149,JACOPO GUARNIERI,TEAM KATUSHA,320914,15740
2015,150,MARCEL SIEBERG,LOTTO-SOUDAL,321066,15892
2015,151,LUKE DURBRIDGE,ORICA GREENEDGE,321077,15903
2015,152,MICHAEL MATTHEWS,ORICA GREENEDGE,321167,15993
2015,153,THOMAS LEEZER,TEAM LOTTO NL - JUMBO,321181,16007
2015,154,TYLER FARRAR,MTN-QHUBEKA,321526,16352
2015,155,DAVIDE CIMOLAI,LAMPRE - MERIDA,321575,16401
2015,156,MATTHIAS BRÄNDLE,IAM CYCLING,321830,16656
2015,157,BRYAN NAULLEAU,TEAM EUROPCAR,321986,16812
2015,158,KENNETH VANBILSEN,"COFIDIS, SOLUTIONS CREDITS",322061,16887
2015,159,SVEIN TUFT,ORICA GREENEDGE,322462,17288
2015,160,SÉBASTIEN CHAVANEL,FDJ,322993,17819
2016,1,CHRIS FROOME,TEAM SKY,320688,0
2016,2,ROMAIN BARDET,AG2R LA MONDIALE,320933,245
2016,3,NAIRO QUINTANA,MOVISTAR TEAM,320949,261
2016,4,ADAM YATES,ORICA-BIKEEXCHANGE,320970,282
2016,5,RICHIE PORTE,BMC RACING TEAM,321005,317
2016,6,ALEJANDRO VALVERDE,MOVISTAR TEAM,321064,376
2016,7,JOAQUIN RODRIGUEZ OLIVER,TEAM KATUSHA,321106,418
2016,8,LOUIS MEINTJES,LAMPRE - MERIDA,321106,418
2016,9,DANIEL MARTIN,ETIXX-QUICK STEP,321112,424
2016,10,ROMAN KREUZIGER,TINKOFF,321119,431
2016,11,BAUKE MOLLEMA,TREK - SEGAFREDO,321481,793
2016,12,SERGIO LUIS HENAO MONTOYA,TEAM SKY,321819,1131
2016,13,FABIO ARU,ASTANA PRO TEAM,321848,1160
2016,14,SÉBASTIEN REICHENBACH,FDJ,322187,1499
2016,15,GERAINT THOMAS,TEAM SKY,322399,1711
2016,16,PIERRE ROLLAND,CANNONDALE DRAPAC TEAM,322530,1842
2016,17,MIKEL NIEVE ITURRALDE,TEAM SKY,322998,2310
2016,18,STEF CLEMENT,IAM CYCLING,323025,2337
2016,19,JARLINSON PANTANO GOMEZ,IAM CYCLING,323027,2339
2016,20,ALEXIS VUILLERMOZ,AG2R LA MONDIALE,323236,2548
2016,21,EMANUEL BUCHMANN,BORA-ARGON 18,323548,2860
2016,22,DAMIANO CARUSO,BMC RACING TEAM,323591,2903
2016,23,WARREN BARGUIL,TEAM GIANT-ALPECIN,323822,3134
2016,24,HAIMAR ZUBELDIA,TREK - SEGAFREDO,323874,3186
2016,25,ILNUR ZAKARIN,TEAM KATUSHA,324081,3393
2016,26,TANEL KANGERT,ASTANA PRO TEAM,324527,3839
2016,27,RAFAL MAJKA,TINKOFF,324553,3865
2016,28,WOUT POELS,TEAM SKY,324705,4017
2016,29,TEJAY VAN GARDEREN,BMC RACING TEAM,325014,4326
2016,30,VINCENZO NIBALI,ASTANA PRO TEAM,325487,4799
2016,31,DANIEL MORENO FERNANDEZ,MOVISTAR TEAM,325548,4860
2016,32,WILCO KELDERMAN,TEAM LOTTO NL - JUMBO,325766,5078
2016,33,DOMENICO POZZOVIVO,AG2R LA MONDIALE,325802,5114
2016,34,FRANK SCHLECK,TREK - SEGAFREDO,325947,5259
2016,35,MIKEL LANDA MEANA,TEAM SKY,326227,5539
2016,36,STEVE MORABITO,FDJ,326598,5910
2016,37,DIEGO ROSA,ASTANA PRO TEAM,327084,6396
2016,38,DARYL IMPEY,ORICA-BIKEEXCHANGE,327339,6651
2016,39,BARTOSZ HUZARSKI,BORA-ARGON 18,327616,6928
2016,40,THOMAS DE GENDT,LOTTO SOUDAL,327813,7125
2016,41,JULIAN ALAPHILIPPE,ETIXX-QUICK STEP,327897,7209
2016,42,SERGE PAUWELS,TEAM DIMENSION DATA,327926,7238
2016,43,SYLVAIN CHAVANEL,DIRECT ENERGIE,328061,7373
2016,44,GREG VAN AVERMAET,BMC RACING TEAM,328261,7573
2016,45,AMAEL MOINARD,BMC RACING TEAM,328284,7596
2016,46,PETER STETINA,TREK - SEGAFREDO,328330,7642
2016,47,ION IZAGIRRE INSAUSTI,MOVISTAR TEAM,328477,7789
2016,48,LUIS LEON SANCHEZ,ASTANA PRO TEAM,328513,7825
2016,49,RUI COSTA,LAMPRE - MERIDA,328590,7902
2016,50,JAN BAKELANTS,AG2R LA MONDIALE,328715,8027
2016,51,KRISTIJAN ÐURASEK,LAMPRE - MERIDA,328804,8116
2016,52,JAKOB FUGLSANG,ASTANA PRO TEAM,328924,8236
2016,53,GEORGE BENNETT,TEAM LOTTO NL - JUMBO,328973,8285
2016,54,JAN POLANC,LAMPRE - MERIDA,328992,8304
2016,55,LUIS ANGEL MATE MARDONES,"COFIDIS, SOLUTIONS CREDITS",329165,8477
2016,56,GEORG PREIDLER,TEAM GIANT-ALPECIN,329433,8745
2016,57,MIKAEL CHEREL,AG2R LA MONDIALE,329553,8865
2016,58,ROBERT KIŠERLOVSKI,TINKOFF,329574,8886
2016,59,EDUARDO SEPULVEDA,FORTUNEO - VITAL CONCEPT,329595,8907
2016,60,FABRICE JEANDESBOZ,DIRECT ENERGIE,330245,9557
2016,61,BEN GASTAUER,AG2R LA MONDIALE,330353,9665
2016,62,ALEXEY LUTSENKO,ASTANA PRO TEAM,330400,9712
2016,63,ANTHONY ROUX,FDJ,330519,9831
2016,64,MARTIN ELMIGER,IAM CYCLING,330529,9841
2016,65,PATRICK KONRAD,BORA-ARGON 18,330680,9992
2016,66,SIMON GESCHKE,TEAM GIANT-ALPECIN,330740,10052
2016,67,ALBERTO LOSADA ALGUACIL,TEAM KATUSHA,330770,10082
2016,68,CYRIL GAUTIER,AG2R LA MONDIALE,330877,10189
2016,69,WINNER ANACONA,MOVISTAR TEAM,330911,10223
2016,70,BRICE FEILLU,FORTUNEO - VITAL CONCEPT,330937,10249
2016,71,TONY GALLOPIN,LOTTO SOUDAL,330971,10283
2016,72,RUBEN PLAZA MOLINA,ORICA-BIKEEXCHANGE,331078,10390
2016,73,LAURENS TEN DAM,TEAM GIANT-ALPECIN,331090,10402
2016,74,PAOLO TIRALONGO,ASTANA PRO TEAM,331380,10692
2016,75,JÉRÔME COPPEL,IAM CYCLING,331416,10728
2016,76,MICHAEL SCHÄR,BMC RACING TEAM,331542,10854
2016,77,MICHAEL VALGREN,TINKOFF,331570,10882
2016,78,ARTHUR VICHOT,FDJ,331618,10930
2016,79,THOMAS VOECKLER,DIRECT ENERGIE,331643,10955
2016,80,NELSON OLIVEIRA,MOVISTAR TEAM,331781,11093
2016,81,ROMAIN SICARD,DIRECT ENERGIE,332039,11351
2016,82,TOM-JELTE SLAGTER,CANNONDALE DRAPAC TEAM,332047,11359
2016,83,OLIVER NAESEN,IAM CYCLING,332176,11488
2016,84,CHRIS ANKER SORENSEN,FORTUNEO - VITAL CONCEPT,332260,11572
2016,85,DANIEL TEKLEHAIMANOT,TEAM DIMENSION DATA,332335,11647
2016,86,ANDREY GRIVKO,ASTANA PRO TEAM,332359,11671
2016,87,ARNOLD JEANNESSON,"COFIDIS, SOLUTIONS CREDITS",332582,11894
2016,88,JAN BARTA,BORA-ARGON 18,332672,11984
2016,89,MARCUS BURGHARDT,BMC RACING TEAM,332710,12022
2016,90,ANTHONY DELAPLACE,FORTUNEO - VITAL CONCEPT,332757,12069
2016,91,DYLAN VAN BAARLE,CANNONDALE DRAPAC TEAM,332883,12195
2016,92,TSGABU GEBREMARYAM GRMAY,LAMPRE - MERIDA,332885,12197
2016,93,PIERRE LUC PERICHON,FORTUNEO - VITAL CONCEPT,332964,12276
2016,94,BERT JAN LINDEMAN,TEAM LOTTO NL - JUMBO,333067,12379
2016,95,PETER SAGAN,TINKOFF,333117,12429
2016,96,JÉRÉMY ROY,FDJ,333123,12435
2016,97,RETO HOLLENSTEIN,IAM CYCLING,333201,12513
2016,98,PAUL MARTENS,TEAM LOTTO NL - JUMBO,333497,12809
2016,99,JASPER STUYVEN,TREK - SEGAFREDO,333497,12809
2016,100,ADAM JAMES HANSEN,LOTTO SOUDAL,333554,12866
2016,101,PAUL VOSS,BORA-ARGON 18,333673,12985
2016,102,LUKA PIBERNIK,LAMPRE - MERIDA,333785,13097
2016,103,VASILI KIRYIENKA,TEAM SKY,333809,13121
2016,104,SEP VANMARCKE,TEAM LOTTO NL - JUMBO,333890,13202
2016,105,FLORIAN VACHON,FORTUNEO - VITAL CONCEPT,333897,13209
2016,106,NICOLAS EDET,"COFIDIS, SOLUTIONS CREDITS",334050,13362
2016,107,ANTOINE DUCHESNE,DIRECT ENERGIE,334182,13494
2016,108,IMANOL ERVITI,MOVISTAR TEAM,334290,13602
2016,109,EDVALD BOASSON-HAGEN,TEAM DIMENSION DATA,334337,13649
2016,110,MICHAEL MATTHEWS,ORICA-BIKEEXCHANGE,334348,13660
2016,111,TIMO ROOSEN,TEAM LOTTO NL - JUMBO,334531,13843
2016,112,LUKE DURBRIDGE,ORICA-BIKEEXCHANGE,334603,13915
2016,113,BRYAN COQUARD,DIRECT ENERGIE,334605,13917
2016,114,JULIEN VERMOTE,ETIXX-QUICK STEP,334658,13970
2016,115,REINARDT JANSE VAN RENSBURG,TEAM DIMENSION DATA,334878,14190
2016,116,YUKIYA ARASHIRO,LAMPRE - MERIDA,334914,14226
2016,117,BRENT BOOKWALTER,BMC RACING TEAM,334957,14269
2016,118,PETR VAKOC,ETIXX-QUICK STEP,334966,14278
2016,119,JUUL CHRISTOPHER JENSEN,ORICA-BIKEEXCHANGE,334978,14290
2016,120,MARKEL IRIZAR ARRANBURU,TREK - SEGAFREDO,334985,14297
2016,121,JÉRÔME COUSIN,"COFIDIS, SOLUTIONS CREDITS",335004,14316
2016,122,ROY CURVERS,TEAM GIANT-ALPECIN,335284,14596
2016,123,GREGORY RAST,TREK - SEGAFREDO,335312,14624
2016,124,G LAWSON CRADDOCK,CANNONDALE DRAPAC TEAM,335312,14624
2016,125,NATNAEL BERHANE,TEAM DIMENSION DATA,335355,14667
2016,126,JURGEN ROELANDTS,LOTTO SOUDAL,335410,14722
2016,127,WILLIAM BONNET,FDJ,335466,14778
2016,128,CESARE BENEDETTI,BORA-ARGON 18,335471,14783
2016,129,ANGEL VICIOSO ARCOS,TEAM KATUSHA,335575,14887
2016,130,SAMUEL DUMOULIN,AG2R LA MONDIALE,335576,14888
2016,131,ALEX HOWES,CANNONDALE DRAPAC TEAM,335590,14902
2016,132,MICHAEL ALBASINI,ORICA-BIKEEXCHANGE,335632,14944
2016,133,ANDRÉ GREIPEL,LOTTO SOUDAL,335635,14947
2016,134,RAMUNAS NAVARDAUSKAS,CANNONDALE DRAPAC TEAM,335668,14980
2016,135,MATHEW HAYMAN,ORICA-BIKEEXCHANGE,335721,15033
2016,136,MATTEO BONO,LAMPRE - MERIDA,335861,15173
2016,137,CYRIL LEMOINE,"COFIDIS, SOLUTIONS CREDITS",335917,15229
2016,138,MAARTEN WYNANTS,TEAM LOTTO NL - JUMBO,336101,15413
2016,139,ILJO KEISSE,ETIXX-QUICK STEP,336105,15417
2016,140,STEPHEN CUMMINGS,TEAM DIMENSION DATA,336111,15423
2016,141,SONDRE HOLST ENGER,IAM CYCLING,336140,15452
2016,142,GEOFFREY SOUPE,"COFIDIS, SOLUTIONS CREDITS",336183,15495
2016,143,RAMON SINKELDAM,TEAM GIANT-ALPECIN,336389,15701
2016,144,MAXIMILIANO RICHEZE,ETIXX-QUICK STEP,336410,15722
2016,145,MATTEO TOSATTO,TINKOFF,336413,15725
2016,146,ARMINDO FONSECA,FORTUNEO - VITAL CONCEPT,336469,15781
2016,147,ALEXIS GOUGEARD,AG2R LA MONDIALE,336510,15822
2016,148,JOHN DEGENKOLB,TEAM GIANT-ALPECIN,336552,15864
2016,149,ALEXANDER KRISTOFF,TEAM KATUSHA,336552,15864
2016,150,FABIO SABATINI,ETIXX-QUICK STEP,336687,15999
2016,151,LUKE ROWE,TEAM SKY,336757,16069
2016,152,KRISTIJAN KOREN,CANNONDALE DRAPAC TEAM,336769,16081
2016,153,ALBERT TIMMER,TEAM GIANT-ALPECIN,336779,16091
